symbol,rows_used,trades,accuracy,win_rate,pnl_percent
ETHUSDT,2121,2120,0.8882075471698113,0.6339622641509434,494.35669190775127
BTCUSDT,2120,2119,0.8683341198678622,0.6224634261444077,226.20757739012154
FETUSDT,2106,2105,0.5510688836104513,0.4864608076009501,6.78322771789711
INJUSDT,2106,2105,0.5301662707838479,0.5068883610451307,-17.853813850434452
SHIBUSDT,1353,1352,0.518491124260355,0.47928994082840237,0.652040802963913
AVAXUSDT,2106,2105,0.5173396674584323,0.5002375296912114,8.966829189424756
DOGEUSDT,2106,2105,0.5154394299287411,0.5135391923990499,7.862757566264425
ADAUSDT,2106,2105,0.5149643705463183,0.503562945368171,48.48371050972381
PEPEUSDT,1580,1579,0.5148828372387587,0.4901836605446485,52.03926412963868
DOTUSDT,2106,2105,0.5135391923990499,0.503562945368171,24.564375616838248
LTCUSDT,2106,2105,0.5130641330166271,0.503562945368171,32.35525268905295
APTUSDT,2106,2105,0.5068883610451307,0.4954869358669834,-15.568812174170677
SOLUSDT,2106,2105,0.5002375296912114,0.4969121140142518,-11.887229013098738
BNBUSDT,2106,2105,0.498812351543943,0.4973871733966746,-14.647440342231317
XRPUSDT,2106,2105,0.4969121140142518,0.4950118764845606,-30.91797627229719
MATICUSDT,0,0,0.0,0.0,0.0
